Provincia;ID_INE;D1Mar;D2Mar;D3Mar;D4Mar;D5Mar;D6Mar;D7Mar;D8Mar;D9Mar;D10Mar;D11Mar;D12Mar;D13Mar;D14Mar;D15Mar;D16Mar;D17Mar;D18Mar;D19Mar;D20Mar;D21Mar;D22Mar;D23Mar;D24Mar;D25Mar;D26Mar;D27Mar;D28Mar;D29Mar;D30Mar;D31Mar;D01Abr;D02Abr;D03Abr;D04Abr;D05Abr;D6Abr;D7Abr;D8Abr;D9Abr;D10Abr;D11Abr;D12Abr;;;;;;;
Albacete;2;75.80;70.40;77.00;74.70;69.32;62.92;63.31;64.98;63.01;54.41;67.49;67.98;70.60;77.50;83.50;95.40;95.20;83.20;88.00;88.20;97.40;97.40;94.50;97.30;88.50;77.20;97.30;85.00;78.50;92.20;92.10;84.90;86.50;83.60;81.60;83.10;88.50;84.70;71.20;72.80;61.88;52.29;71.90;;;;;;;
Alicante/Alacant;3;68.11;48.50;53.50;53.84;47.42;36.02;41.14;49.75;34.84;64.08;63.97;68.32;67.30;79.40;80.20;80.60;83.60;69.91;77.20;76.60;85.00;89.20;94.00;93.20;75.10;74.90;86.90;75.20;66.90;78.20;85.00;84.80;84.20;72.10;79.70;78.40;79.80;81.50;76.40;73.60;61.23;73.30;76.30;;;;;;;
Almeria;4;76.40;69.20;54.20;80.10;68.32;41.22;59.69;74.10;77.80;75.50;61.16;52.64;69.78;78.80;79.50;68.89;56.56;55.70;52.27;56.48;68.82;88.60;73.20;62.64;58.58;74.80;62.06;62.41;71.40;78.10;85.50;77.40;72.10;70.10;59.31;58.52;75.50;73.20;62.02;61.29;74.20;54.74;63.47;;;;;;;
Araba/alava;1;57.00;81.00;74.00;80.00;78.00;85.00;88.00;85.00;79.00;81.00;71.00;91.00;82.00;76.00;78.00;91.00;94.00;88.00;72.00;64.00;68.00;76.00;81.00;73.00;70.00;68.00;66.00;67.00;81.00;83.00;87.00;78.20;78.20;78.20;78.20;78.20;78.20;78.20;78.20;78.20;78.20;78.20;78.20;;;;;;;
Asturias;33;52.00;85.00;70.00;64.00;73.00;82.00;75.00;74.00;70.00;76.00;85.00;97.00;90.00;78.00;90.00;89.00;88.00;86.00;94.00;94.00;91.00;90.00;89.00;78.00;79.00;71.00;67.00;78.00;80.00;91.00;87.00;81.10;81.10;81.10;81.10;81.10;81.10;81.10;81.10;81.10;81.10;81.10;81.10;;;;;;;
Avila;5;87.22;77.08;84.18;82.93;80.39;74.68;74.96;72.22;69.69;65.50;57.53;61.78;85.85;66.85;68.86;97.40;73.60;72.48;68.13;80.03;85.61;82.87;78.76;71.32;80.83;65.72;67.60;60.02;64.99;91.03;84.01;77.75;82.37;69.19;66.30;76.81;81.45;79.84;78.26;88.57;85.90;85.54;84.35;;;;;;;
Badajoz;6;94.50;71.53;88.10;85.90;77.50;62.82;59.20;69.44;54.81;50.58;58.19;62.23;72.37;64.64;64.42;77.15;75.60;67.15;68.77;91.20;91.00;82.60;82.10;72.42;69.45;52.61;61.04;65.58;50.61;76.45;96.40;74.85;69.08;59.66;62.36;78.13;90.60;94.90;84.20;93.20;84.40;84.60;79.38;;;;;;;
Baleares;7;60.67;54.49;52.13;65.24;60.78;55.74;58.11;72.30;61.77;73.90;75.30;74.13;81.90;78.00;86.60;86.50;90.00;80.60;86.80;80.20;83.20;88.40;85.30;76.70;74.30;82.90;69.97;80.10;70.40;84.10;89.50;87.70;96.90;78.10;81.00;80.70;82.30;77.50;82.10;78.20;69.95;72.90;83.80;;;;;;;
Barcelona;8;66.00;53.00;50.00;65.00;63.00;44.00;52.00;71.00;66.00;67.00;81.00;88.00;86.00;78.00;82.00;89.00;78.00;79.00;80.00;79.00;77.00;86.00;85.00;67.00;55.00;69.00;60.00;62.00;66.00;81.00;76.00;71.10;71.10;71.10;71.10;71.10;71.10;71.10;71.10;71.10;71.10;71.10;71.10;;;;;;;
Bizkaia;48;72.00;79.00;77.00;82.00;72.00;79.00;86.00;81.00;85.00;86.00;85.00;90.00;78.00;74.00;74.00;92.00;94.00;89.00;78.00;43.00;52.00;84.00;79.00;71.00;78.00;56.00;66.00;64.00;79.00;86.00;93.00;77.50;77.50;77.50;77.50;77.50;77.50;77.50;77.50;77.50;77.50;77.50;77.50;;;;;;;
Burgos;9;59.85;71.84;74.54;74.93;72.76;83.70;87.10;80.70;77.67;75.35;67.17;87.60;82.00;76.67;78.97;89.60;90.50;90.30;77.11;72.86;68.60;77.58;78.47;72.23;76.60;69.45;69.44;68.91;78.59;80.92;85.90;84.40;82.60;72.48;66.39;66.69;82.90;88.90;77.17;77.52;78.60;88.90;78.78;;;;;;;
Caceres;10;80.60;74.90;84.70;83.20;77.40;71.80;56.83;69.63;68.93;55.25;58.40;61.47;86.70;76.50;68.45;71.20;63.57;57.97;55.14;88.50;83.80;82.10;80.20;71.60;69.58;71.20;78.80;64.81;68.69;87.60;91.70;81.10;76.40;72.50;68.70;70.90;83.40;92.50;85.70;95.40;83.40;86.70;79.50;;;;;;;
Cadiz;11;84.90;79.60;77.30;79.70;76.90;61.54;47.10;51.84;57.54;42.94;39.41;76.80;75.50;73.10;72.00;47.91;82.60;74.90;68.34;76.80;81.60;81.10;80.30;88.10;81.40;78.00;76.10;72.00;72.50;84.10;90.40;75.70;78.20;76.50;66.16;68.40;81.30;75.50;66.13;66.79;70.50;55.00;62.11;;;;;;;
Cantabria;39;74.00;80.00;77.00;80.00;74.00;76.00;84.00;76.00;80.00;79.00;86.00;92.00;77.00;80.00;85.00;82.00;88.00;93.00;97.00;94.00;89.00;88.00;87.00;86.00;78.00;61.00;64.00;72.00;78.00;76.00;86.00;81.30;81.30;81.30;81.30;81.30;81.30;81.30;81.30;81.30;81.30;81.30;81.30;;;;;;;
Castellon/Castello;12;54.34;49.09;43.57;66.64;57.60;55.11;49.40;70.40;46.88;71.70;74.80;91.20;80.70;80.90;91.60;99.30;99.00;92.90;89.90;92.30;87.30;97.50;98.70;87.00;91.50;80.20;77.90;67.37;67.43;70.80;99.90;100.00;92.80;79.50;88.30;90.50;89.10;92.00;85.10;87.00;90.60;83.70;81.70;;;;;;;
Ciudad Real;13;83.10;73.30;84.70;82.30;81.30;71.50;69.62;71.80;70.00;66.94;68.21;67.58;71.80;73.60;79.50;82.60;77.70;75.90;74.00;75.80;81.30;93.40;85.30;82.40;74.60;69.24;82.80;73.10;68.37;83.30;90.90;81.00;79.30;74.30;73.10;73.90;87.70;83.40;76.80;87.20;93.50;87.90;69.98;;;;;;;
Cordoba;14;87.70;74.20;79.40;75.40;85.00;65.96;62.84;64.77;62.78;60.96;67.12;64.95;86.80;90.90;77.40;70.20;70.80;52.35;73.80;79.40;91.40;88.50;83.50;69.33;70.20;72.30;73.80;67.67;74.60;88.90;89.60;83.30;86.50;78.90;77.20;75.90;88.60;81.40;76.70;85.00;80.20;71.60;67.30;;;;;;;
Coruña. A;15;87.90;85.60;96.10;93.80;92.70;84.30;84.20;88.80;87.90;89.40;90.80;91.40;84.90;84.00;94.30;85.60;77.60;76.70;90.30;96.20;96.80;89.70;94.40;73.90;85.00;78.40;67.92;65.26;77.20;72.90;82.90;87.90;88.40;72.60;56.97;81.60;80.90;81.20;81.90;93.50;98.20;94.90;96.10;;;;;;;
Cuenca;16;78.60;70.70;81.30;77.30;73.80;61.76;60.15;61.43;62.78;55.19;59.05;54.30;60.83;65.40;74.70;83.00;84.10;73.60;77.80;79.70;87.60;88.70;84.10;80.60;74.50;69.66;86.30;74.50;64.54;78.60;90.80;81.90;80.70;79.60;72.70;69.84;89.80;85.60;69.01;67.07;88.20;64.22;60.08;;;;;;;
Gerona;17;59.00;68.00;73.00;84.00;76.00;81.00;74.00;82.00;85.00;74.00;82.00;85.00;80.00;84.00;85.00;94.00;89.00;81.00;83.00;80.00;83.00;88.00;95.00;80.00;67.00;91.00;82.00;74.00;71.00;87.00;83.00;80.60;80.60;80.60;80.60;80.60;80.60;80.60;80.60;80.60;80.60;80.60;80.60;;;;;;;
Gipuzkoa;20;74.00;76.00;78.00;84.00;78.00;74.00;87.00;83.00;79.00;82.00;88.00;92.00;75.00;77.00;78.00;9.00;2.00;94.00;90.00;73.00;46.00;65.00;83.00;85.00;85.00;76.00;54.00;67.00;73.00;81.00;84.00;78.60;78.60;78.60;78.60;78.60;78.60;78.60;78.60;78.60;78.60;78.60;78.60;;;;;;;
Granada;18;83.60;67.98;81.60;79.40;73.70;65.99;55.05;57.88;62.54;51.77;44.00;74.80;79.10;81.50;71.90;58.13;83.30;62.71;69.79;88.70;91.70;77.90;74.30;66.64;86.50;78.80;72.70;72.10;75.50;92.70;81.80;74.30;73.00;67.67;75.40;91.10;96.40;89.10;77.80;79.60;79.60;80.69;80.83;;;;;;;
Guadalajara;19;87.80;70.10;90.10;81.50;80.70;62.94;76.10;79.60;70.40;72.40;73.10;69.51;71.30;76.60;89.30;88.90;91.70;92.10;80.80;78.20;96.30;94.30;90.20;84.90;84.10;67.73;86.80;77.40;75.00;77.80;98.30;89.60;81.10;72.90;70.50;65.79;94.00;97.40;84.40;83.30;98.30;79.70;56.71;;;;;;;
Huelva;21;85.90;66.21;79.70;77.90;70.90;62.36;53.26;51.15;57.42;56.59;62.50;84.10;85.70;84.10;76.50;50.33;81.00;76.00;73.90;85.90;91.40;83.70;81.20;71.40;86.10;72.40;77.40;79.20;82.20;91.40;82.50;80.30;70.70;73.20;79.60;86.90;94.60;87.20;78.00;78.00;82.50;76.00;75.50;;;;;;;
